time,time_diff,temp,tod,season,pressure,humidity,dew_pt,clouds,wind_speed,wind_deg,4020824211773201175,4025185137773201155,4067173146773201181,4091235214773201212,4015213417077320185,4010224513677320196,403037224773201139,406908213773201128,40024920777320136,40217218126773201172,405322121277320127,402272285877320170,401400620977320137,409061132773201254,4016624233773201214,40245178127773201199
1647046800,115200,0.6578165356736191,0.043478260869565216,0.9120879120879121,0.9806013579049466,0.85,0.9730522200502651,1.0,0.25187566988210075,0.5805555555555556,51.35,50.79,51.24,51.69,51.35,49.44,49.21,51.8,51.69,50.9,50.79,50.9,51.57,52.03,50.9,51.01
1647050400,118800,0.6455689171549978,0.08695652173913043,0.9120879120879121,0.979631425800194,0.87,0.9727031555431443,1.0,0.23579849946409434,0.5805555555555556,46.63,46.63,47.75,48.2,44.6,42.58,42.91,44.6,45.39,45.5,44.71,45.05,46.17,45.84,45.95,45.28
1647054000,122400,0.6375704724081429,0.13043478260869565,0.9120879120879121,0.9786614936954413,0.89,0.9726682490924321,1.0,0.2465166130760986,0.5527777777777778,48.54,47.97,48.42,49.32,47.19,44.71,44.49,47.3,48.42,48.2,47.19,47.3,47.19,47.41,46.63,47.08
1647057600,126000,0.6293220762629489,0.17391304347826086,0.9120879120879121,0.9776915615906887,0.91,0.9727031555431443,1.0,0.2282958199356913,0.5777777777777777,46.4,46.17,46.51,46.74,45.84,44.94,45.84,47.3,46.63,46.4,45.61,46.29,45.95,46.06,45.72,45.95
1647061200,129600,0.6243230482961647,0.21739130434782608,0.9120879120879121,0.976721629485936,0.93,0.9730522200502651,1.0,0.2529474812433012,0.5777777777777777,39.65,39.2,39.54,39.54,39.09,37.51,38.41,40.1,39.76,40.1,38.86,39.31,39.42,39.42,39.09,39.2
1647064800,133200,0.6453189657566585,0.2608695652173913,0.9120879120879121,0.973811833171678,0.91,0.9750418877408544,1.0,0.17041800643086819,0.5611111111111111,38.19,37.51,37.74,37.74,37.85,36.84,37.74,38.3,38.3,38.3,37.4,37.85,37.96,37.85,37.74,37.96
1647068400,136800,0.6335712500347155,0.30434782608695654,0.9120879120879121,0.9718719689621726,0.95,0.9751466070929907,1.0,0.18435155412647375,0.525,37.96,37.4,37.63,37.63,37.74,36.61,37.4,38.3,37.74,38.3,36.84,37.63,38.08,38.08,37.51,37.85
1647072000,140400,0.6515677507151387,0.34782608695652173,0.9120879120879121,0.9699321047526673,0.94,0.9771013683328679,1.0,0.09217577706323687,0.5472222222222223,41.0,40.55,40.78,40.89,40.44,39.09,39.99,41.0,40.78,41.0,40.1,40.66,40.89,41.0,40.33,40.89
1647075600,144000,0.6573166328769406,0.391304347826087,0.9120879120879121,0.967992240543162,0.94,0.9783580005585031,1.0,0.04180064308681672,0.2388888888888889,43.92,43.25,43.81,43.36,43.59,42.8,43.59,44.6,43.81,44.6,42.91,43.59,43.7,43.92,43.47,43.59
1647079200,147600,0.6600660982586719,0.43478260869565216,0.9120879120879121,0.9660523763336566,0.98,0.9806269198547891,1.0,0.13933547695605575,0.3527777777777778,37.4,36.61,36.95,36.28,37.06,35.94,36.72,37.4,37.06,37.4,36.39,36.95,36.84,37.17,36.72,36.84
1647082800,151200,0.6668147860138307,0.4782608695652174,0.9120879120879121,0.965082444228904,0.99,0.9818486456297122,1.0,0.14362272240085747,0.7777777777777778,31.77,31.33,31.55,31.44,31.55,30.65,31.77,32.0,31.66,32.0,31.1,31.55,31.89,31.77,31.66,32.0
1647086400,154800,0.6260727080845392,0.5217391304347826,0.9120879120879121,0.9660523763336566,0.96,0.9751815135437029,1.0,0.555198285101822,0.9972222222222222,31.21,30.54,31.33,31.21,31.21,30.31,31.1,32.0,31.33,32.0,30.99,31.44,31.55,31.33,30.88,31.66
1647090000,158400,0.5093454050601273,0.5652173913043478,0.9120879120879121,0.967992240543162,0.9,0.95577352694778,1.0,0.4158628081457663,0.002777777777777778,28.96,28.74,28.74,28.63,28.85,27.73,28.96,29.3,29.19,29.3,28.4,28.63,29.08,28.85,29.3,29.19
1647093600,162000,0.4925986613714,0.6086956521739131,0.9120879120879121,0.9699321047526673,0.88,0.9522828818765707,1.0,0.3987138263665595,0.9361111111111111,27.27,27.05,27.05,27.05,27.16,26.04,27.27,27.5,27.39,27.5,26.49,26.94,27.39,27.27,27.39,27.39
1647097200,165600,0.46060488238398095,0.6521739130434783,0.9120879120879121,0.9699321047526673,0.87,0.947395978776878,1.0,0.46730975348338694,0.9472222222222222,28.63,28.51,28.29,28.17,28.51,27.16,28.4,28.4,28.85,29.3,27.73,28.17,29.19,28.51,29.08,28.74
1647100800,169200,0.4431082845002361,0.6956521739130435,0.9120879120879121,0.9728419010669254,0.77,0.9391929628595364,1.0,0.6077170418006431,0.8777777777777778,27.95,28.17,26.94,26.94,27.61,26.38,28.06,26.6,27.95,27.5,25.48,26.38,27.61,28.17,28.51,27.39
1646935200,0,0.6458188685533369,0.782608695652174,0.8901098901098901,0.988360814742968,0.61,0.9569603462719909,0.4,0.2497320471596999,0.4722222222222222,-159.0,-159.0,-159.0,-159.0,-159.0,-159.0,-159.0,-159.0,-159.0,-159.0,-159.0,-159.0,-159.0,-159.0,-159.0,-159.0
1646938800,3600,0.6528175077068348,0.8260869565217391,0.8901098901098901,0.988360814742968,0.59,0.9562622172577492,0.52,0.27009646302250806,0.4777777777777778,47.3,46.96,47.3,47.08,48.09,46.51,47.75,48.2,47.08,47.3,47.08,47.08,48.31,48.2,47.19,47.97
1646942400,7200,0.6630655150387426,0.8695652173913043,0.8901098901098901,0.988360814742968,0.57,0.9559480592013404,0.64,0.24758842443729903,0.4166666666666667,47.86,47.41,48.2,47.86,48.54,46.74,48.31,48.2,47.64,48.2,47.75,47.75,48.76,48.88,47.64,48.42
1646946000,10800,0.6670647374121699,0.9130434782608695,0.8901098901098901,0.9873908826382153,0.57,0.9564716559620217,0.76,0.2679528403001072,0.4222222222222222,47.97,47.75,48.76,47.3,47.97,46.63,47.97,48.2,47.97,48.2,47.41,47.75,48.65,48.31,48.09,48.2
1646949600,14400,0.6580664870719583,0.9565217391304348,0.8901098901098901,0.9873908826382153,0.63,0.9601717397375034,0.87,0.2754555198285102,0.3888888888888889,46.74,46.29,46.51,46.51,46.96,45.95,47.08,47.3,46.85,47.3,46.17,46.63,47.08,47.08,46.29,47.08
1646953200,18000,0.6275724164745745,1.0,0.8901098901098901,0.9873908826382153,0.68,0.9580075397933537,0.99,0.24758842443729903,0.3861111111111111,45.39,44.83,45.05,44.94,45.05,44.15,45.16,46.4,45.39,45.5,44.6,45.05,45.5,45.61,45.16,45.5
1646956800,21600,0.6055766934207237,0.0,0.9010989010989011,0.988360814742968,0.69,0.9559131527506284,0.99,0.2207931404072883,0.4222222222222222,45.05,44.38,44.38,44.49,44.71,43.7,44.04,45.5,44.71,45.5,44.15,44.6,44.6,44.94,44.26,44.94
1646960400,25200,0.5970783458771906,0.043478260869565216,0.9010989010989011,0.9893307468477207,0.7,0.9551452108349622,1.0,0.21436227224008575,0.44166666666666665,43.92,43.47,43.81,43.81,43.7,42.69,43.36,44.6,44.15,44.6,43.25,43.81,43.92,43.92,43.47,43.7
1646964000,28800,0.5820812619768378,0.08695652173913043,0.9010989010989011,0.9893307468477207,0.72,0.9545168947221445,0.89,0.1682743837084673,0.5111111111111111,42.24,41.56,41.34,42.13,41.67,40.78,41.45,42.8,42.01,42.8,41.45,41.79,41.9,41.9,41.79,41.56
1646967600,32400,0.5523370455744717,0.13043478260869565,0.9010989010989011,0.9903006789524733,0.77,0.9537489528064786,0.77,0.15112540192926044,0.5527777777777778,40.21,39.76,38.86,39.54,39.65,36.72,36.61,41.0,-159.0,-159.0,-159.0,-159.0,39.76,40.21,39.88,40.1
1646971200,36000,0.525592245952176,0.17391304347826086,0.9010989010989011,0.9893307468477207,0.83,0.9537140463557666,0.6,0.15862808145766344,0.5944444444444444,34.81,34.14,34.36,34.25,34.14,33.13,33.35,34.7,-159.0,-159.0,-159.0,-159.0,34.14,34.25,34.14,34.47
