time, 2843ad924d2001b5, 289329dd4d2001df, 288b18924d200116
1632662805.2591653, 56.19, 53.82, 56.86
1632662806.103901, 56.19, 53.82, 56.86
1632662806.9487517, 56.19, 53.82, 56.86
1632662807.7935915, 56.3, 53.82, 56.86
1632662808.6384153, 56.19, 53.82, 56.86
1632662809.4832778, 56.19, 53.82, 56.86
1632662810.3281438, 56.19, 53.82, 56.86
1632662811.1729167, 56.19, 53.82, 56.86
1632662812.0176315, 56.19, 53.82, 56.86
1632662812.862512, 56.19, 53.82, 56.86
1632662813.707194, 56.3, 53.82, 56.86
1632662814.5520225, 56.19, 53.82, 56.86
1632662815.3968468, 56.19, 53.82, 56.86
1632662816.2418964, 56.19, 53.82, 56.86
1632662817.087269, 56.19, 53.82, 56.86
1632662817.931513, 56.19, 53.82, 56.86
1632662818.776428, 56.19, 53.82, 56.86
1632662819.6212409, 56.3, 53.82, 56.97
1632662820.46618, 56.19, 53.82, 56.86
1632662821.3109372, 56.19, 53.71, 56.86
1632662822.1558504, 56.3, 53.82, 56.86
1632662823.000547, 56.3, 53.71, 56.86
1632662823.845424, 56.19, 53.71, 56.86
1632662824.6904352, 56.3, 53.71, 56.86
1632662825.535225, 56.3, 53.82, 56.86
1632662826.379683, 56.3, 53.82, 56.86
1632662827.2245011, 56.3, 53.71, 56.86
1632662828.069379, 56.3, 53.71, 56.86
1632662828.9144561, 56.3, 53.71, 56.97
1632662829.7591763, 56.19, 53.71, 56.86
1632662830.6041589, 56.3, 53.82, 56.86
1632662831.4489963, 56.19, 53.71, 56.86
1632662832.293933, 56.3, 53.71, 56.86
1632662833.1386938, 56.3, 53.71, 56.86
1632662833.983519, 56.3, 53.71, 56.86
1632662834.8281946, 56.3, 53.71, 56.86
1632662835.6731584, 56.3, 53.71, 56.86
1632662836.5180495, 56.3, 53.71, 56.86
1632662837.3629286, 56.19, 53.71, 56.86
1632662838.2077522, 56.19, 53.71, 56.86
1632662839.0522985, 56.3, 53.71, 56.86
1632662839.8971488, 56.3, 53.71, 56.86
1632662840.742085, 56.3, 53.71, 56.86
1632662841.5870268, 56.3, 53.71, 56.86
1632662842.4319549, 56.3, 53.71, 56.86
1632662843.2766464, 56.3, 53.71, 56.86
1632662844.121636, 56.3, 53.71, 56.86
1632662844.966356, 56.3, 53.71, 56.86
1632662845.8112652, 56.3, 53.71, 56.86
1632662846.6560986, 56.3, 53.71, 56.86
1632662847.5008268, 56.3, 53.71, 56.86
1632662848.3457031, 56.3, 53.71, 56.86
1632662849.190454, 56.3, 53.71, 56.86
1632662850.0352046, 56.3, 53.71, 56.86
1632662850.8800843, 56.3, 53.71, 56.86
1632662851.7246528, 56.3, 53.71, 56.75
1632662852.569481, 56.3, 53.71, 56.86
1632662853.4142447, 56.3, 53.71, 56.86
1632662854.2593951, 56.3, 53.71, 56.86
1632662855.1040802, 56.3, 53.71, 56.86
1632662855.949071, 56.3, 53.71, 56.86
1632662856.7937553, 56.3, 53.71, 56.75
1632662857.6385758, 56.3, 53.71, 56.86
1632662858.4834936, 56.3, 53.82, 56.86
1632662859.3283682, 56.3, 53.71, 56.86
1632662860.1732717, 56.3, 53.82, 56.86
1632662861.018087, 56.3, 53.71, 56.75
1632662861.8628151, 56.3, 53.71, 56.75
1632662862.7077615, 56.3, 53.71, 56.86
1632662863.552524, 56.41, 53.82, 56.86
1632662864.397076, 56.41, 53.71, 56.86
1632662865.242033, 56.41, 53.82, 56.86
1632662866.0868516, 56.41, 53.82, 56.86
1632662866.931884, 56.41, 53.82, 56.86
1632662867.7767746, 56.3, 53.82, 56.75
1632662868.621591, 56.41, 53.82, 56.86
1632662869.4663508, 56.41, 53.82, 56.86
1632662870.311085, 56.41, 53.82, 56.86
1632662871.1559563, 56.41, 53.82, 56.86
1632662872.000674, 56.41, 53.82, 56.86
1632662872.8454928, 56.41, 53.94, 56.75
1632662873.6903567, 56.41, 53.82, 56.86
1632662874.53513, 56.41, 53.94, 56.86
1632662875.3800552, 56.41, 53.94, 56.75
1632662876.2248304, 56.41, 53.94, 56.75
1632662877.069419, 56.41, 53.94, 56.75
1632662877.9141073, 56.41, 53.94, 56.86
1632662878.7589328, 56.41, 53.94, 56.86
1632662879.6037698, 56.41, 53.94, 56.86
1632662880.448764, 56.41, 53.94, 56.86
1632662881.2936046, 56.41, 53.94, 56.75
1632662882.1383445, 56.41, 53.94, 56.86
1632662882.9831467, 56.41, 53.94, 56.86
1632662883.8278625, 56.53, 54.05, 56.75
1632662884.6728694, 56.53, 53.94, 56.75
1632662885.517566, 56.53, 54.05, 56.86
1632662886.362452, 56.53, 53.94, 56.75
1632662887.207329, 56.53, 54.05, 56.75
1632662888.0521498, 56.41, 54.05, 56.86
1632662888.8969529, 56.53, 54.05, 56.86
1632662889.7415705, 56.41, 54.05, 56.86
1632662890.5862474, 56.53, 54.05, 56.86
1632662891.4310975, 56.53, 54.05, 56.86
1632662892.276017, 56.53, 54.05, 56.86
1632662893.1209092, 56.53, 54.05, 56.86
1632662893.965684, 56.53, 54.05, 56.75
1632662894.8105311, 56.53, 54.05, 56.86
1632662895.655302, 56.53, 54.05, 56.86
1632662896.5001864, 56.53, 54.05, 56.86
1632662897.344911, 56.53, 54.05, 56.75
1632662898.1897628, 56.53, 54.05, 56.86
1632662899.034542, 56.53, 54.05, 56.86
1632662899.8794575, 56.53, 54.05, 56.86
1632662900.724304, 56.53, 54.05, 56.86
1632662901.56904, 56.53, 54.16, 56.86
1632662902.4139123, 56.53, 54.16, 56.86
1632662903.2584329, 56.53, 54.05, 56.86
1632662904.1031814, 56.53, 54.16, 56.86
1632662904.9480853, 56.53, 54.05, 56.86
1632662905.7931535, 56.53, 54.16, 56.86
1632662906.6380193, 56.53, 54.16, 56.86
1632662907.4826777, 56.53, 54.05, 56.86
1632662908.3276043, 56.53, 54.16, 56.86
1632662909.1724443, 56.53, 54.16, 56.86
1632662910.0173001, 56.64, 54.16, 56.86
1632662910.862036, 56.64, 54.16, 56.75
1632662911.7068994, 56.64, 54.16, 56.86
1632662912.5518248, 56.64, 54.16, 56.86
1632662913.3965445, 56.64, 54.16, 56.86
1632662914.2419815, 56.64, 54.16, 56.86
1632662915.0862052, 56.64, 54.16, 56.75
1632662915.9308062, 56.64, 54.05, 56.86
1632662916.7756002, 56.64, 54.16, 56.86
1632662917.6203876, 56.64, 54.16, 56.86
1632662918.4655294, 56.64, 54.16, 56.75
1632662919.3102994, 56.64, 54.16, 56.86
1632662920.1551864, 56.64, 54.16, 56.75
1632662921.0000381, 56.64, 54.16, 56.86
1632662921.8447897, 56.64, 54.16, 56.75
1632662922.6895235, 56.64, 54.16, 56.86
1632662923.5343866, 56.64, 54.16, 56.86
1632662924.3790543, 56.64, 54.16, 56.86
1632662925.2239766, 56.64, 54.16, 56.86
1632662926.0687878, 56.64, 54.16, 56.86
1632662926.9135811, 56.64, 54.16, 56.86
1632662927.7583802, 56.64, 54.16, 56.86
1632662928.602868, 56.64, 54.16, 56.86
1632662929.4476466, 56.64, 54.16, 56.86
1632662930.292527, 56.64, 54.16, 56.86
1632662931.1374626, 56.64, 54.16, 56.86
1632662931.9824283, 56.64, 54.16, 56.86
1632662932.8272278, 56.64, 54.16, 56.86
1632662933.6719923, 56.64, 54.16, 56.86
1632662934.5167665, 56.64, 54.16, 56.86
1632662935.3617365, 56.75, 54.16, 56.86
1632662936.2065485, 56.64, 54.16, 56.86
1632662937.0514884, 56.64, 54.16, 56.86
1632662937.8961418, 56.64, 54.16, 56.86
1632662938.7411146, 56.64, 54.16, 56.86
1632662939.5858598, 56.64, 54.16, 56.86
1632662940.4309268, 56.75, 54.05, 56.86
1632662941.2753654, 56.75, 54.16, 56.86
1632662942.1201656, 56.75, 54.16, 56.86
1632662942.9650147, 56.64, 54.16, 56.86
1632662943.8099236, 56.75, 54.16, 56.86
1632662944.6549504, 56.64, 54.05, 56.86
1632662945.4998984, 56.64, 54.16, 56.86
1632662946.3446188, 56.75, 54.16, 56.86
1632662947.1894865, 56.75, 54.16, 56.86
1632662948.0342572, 56.75, 54.16, 56.86
1632662948.8791447, 56.75, 54.16, 56.86
1632662949.7238636, 56.75, 54.28, 56.86
1632662950.5688922, 56.75, 54.16, 56.86
1632662951.4135015, 56.75, 54.16, 56.86
1632662952.2583494, 56.75, 54.16, 56.86
1632662953.103067, 56.75, 54.28, 56.86
1632662953.9477322, 56.75, 54.16, 56.86
1632662954.792516, 56.75, 54.28, 56.86
1632662955.6374094, 56.75, 54.16, 56.86
1632662956.4824247, 56.75, 54.28, 56.86
1632662957.3272781, 56.75, 54.28, 56.86
1632662958.1720357, 56.75, 54.28, 56.86
1632662959.01682, 56.75, 54.28, 56.86
1632662959.861822, 56.75, 54.28, 56.86
1632662960.7064767, 56.75, 54.28, 56.86
1632662961.5516462, 56.75, 54.28, 56.86
1632662962.3963065, 56.75, 54.28, 56.86
1632662963.241132, 56.75, 54.28, 56.86
1632662964.0859807, 56.75, 54.28, 56.97
1632662964.9306812, 56.75, 54.28, 56.97
1632662965.775713, 56.75, 54.28, 56.97
1632662966.620186, 56.75, 54.28, 56.97
1632662967.4650145, 56.75, 54.28, 56.97
1632662968.309818, 56.86, 54.28, 56.97
1632662969.155007, 56.75, 54.28, 56.97
1632662969.9999232, 56.86, 54.28, 56.97
1632662970.8447413, 56.75, 54.28, 56.97
1632662971.6895866, 56.86, 54.28, 56.97
1632662972.5342715, 56.75, 54.28, 56.97
1632662973.3792233, 56.86, 54.28, 56.97
