time, 4020824211773201175, 4025185137773201155, 4067173146773201181, 4091235214773201212, 4015213417077320185, 4010224513677320196, 403037224773201139, 406908213773201128, 40024920777320136, 40217218126773201172, 405322121277320127, 402272285877320170, 401400620977320137, 409061132773201254, 4016624233773201214, 40245178127773201199
1646939009.7862601, 47.86, 47.75, 47.97, 47.53, 48.99, 47.3, 48.76, 49.1, 48.2, 48.2, 47.75, 47.75, 48.54, 49.1, 48.09, 48.76
1646939069.4646804, 48.76, 48.31, 48.42, 47.97, 50.11, 47.64, 49.32, 49.1, 49.32, 49.1, 48.2, 48.65, 48.65, 49.66, 47.64, 49.44
1646939129.1456993, 48.65, 48.54, 48.42, 47.86, 50.11, 47.53, 48.76, 49.1, 49.89, 49.1, 48.76, 48.65, 48.65, 49.89, 47.41, 49.1
1646939188.8239381, 48.2, 48.09, 48.42, 47.75, 50.0, 47.3, 49.1, 49.1, 48.99, 48.2, 47.64, 48.65, 48.99, 49.78, 47.19, 49.1
1646939248.5032496, 48.42, 48.2, 48.31, 47.86, 50.0, 47.19, 48.88, 49.1, 48.65, 49.1, 47.64, 48.76, 48.31, 49.44, 46.85, 49.32
1646939308.185357, 48.42, 48.2, 48.2, 47.64, 49.66, 47.3, 49.1, 49.1, 48.2, 48.2, 47.3, 48.09, 48.65, 49.32, 47.64, 49.21
1646939367.8583956, 48.99, 48.99, 48.42, 47.97, 49.89, 47.53, 48.54, 49.1, 48.31, 48.2, 47.53, 48.2, 49.44, 49.32, 48.2, 49.1
1646939427.5318072, 48.09, 47.97, 47.64, 47.64, 49.44, 47.3, 48.2, 48.2, 48.09, 48.2, 47.64, 48.09, 49.44, 48.88, 47.86, 48.88
1646939487.2101407, 47.97, 48.09, 48.09, 47.86, 49.32, 46.74, 48.54, 48.2, 48.31, 48.2, 47.41, 48.2, 49.1, 49.32, 47.75, 49.21
1646939546.8858423, 47.3, 47.41, 47.64, 47.41, 48.76, 46.17, 48.2, 47.3, 47.75, 47.3, 46.63, 47.53, 48.42, 48.42, 47.53, 48.31
1646939606.564329, 47.41, 47.75, 47.86, 47.41, 48.31, 45.95, 48.2, 47.3, 47.19, 47.3, 46.4, 47.19, 48.88, 48.54, 47.64, 48.31
1646939666.2274604, 47.64, 47.75, 48.65, 48.2, 48.2, 46.4, 48.54, 48.2, 47.86, 47.3, 46.85, 47.41, 49.55, 48.65, 48.88, 48.54
1646939725.89801, 48.31, 48.54, 48.76, 48.65, 49.32, 46.51, 48.76, 48.2, 47.86, 49.1, 47.53, 47.97, 50.34, 49.55, 49.89, 49.89
1646939785.5704055, 49.44, 48.88, 49.1, 48.76, 49.66, 47.08, 48.88, 48.2, 48.2, 49.1, 47.64, 48.65, 51.01, 50.11, 49.55, 50.56
1646939845.2447503, 49.1, 48.76, 49.66, 49.1, 49.55, 47.3, 48.54, 49.1, 48.2, 49.1, 47.75, 48.2, 50.45, 50.0, 49.1, 50.11
1646939904.917923, 49.32, 49.1, 50.34, 49.55, 48.99, 47.64, 48.2, 49.1, 48.09, 49.1, 47.86, 48.42, 49.78, 49.89, 48.65, 49.78
1646939964.589852, 48.99, 49.55, 50.22, 50.0, 48.65, 47.19, 47.86, 49.1, 48.2, 49.1, 47.97, 48.99, 49.1, 49.1, 48.31, 48.88
1646940024.263077, 48.2, 48.88, 49.32, 49.32, 48.99, 47.41, 48.09, 49.1, 47.64, 48.2, 47.41, 48.2, 49.32, 49.32, 48.09, 48.65
